block,rate,spam,total
23651257,0,0,62
23651258,8,5,62
23651259,0,0,54
23651260,0,0,57
23651261,0,0,40
23651262,0,0,56
23651263,0,0,55
23651264,0,0,61
23651265,0,0,94
23651266,6,5,90
23651267,0,0,67
23651268,41,51,123
23651269,6,5,87
23651270,0,0,105
23651271,0,0,79
23651272,9,13,139
23651273,0,0,73
23651274,18,21,116
23651275,0,0,90
23651276,0,0,139
23651277,65,146,223
23651278,0,0,83
23651279,7,6,84
23651280,0,0,90
23651281,11,11,100
23651282,0,0,99
23651283,0,0,76
23651284,0,0,123
23651285,0,0,141
23651286,5,5,98
23651287,69,123,179
23651288,7,8,114
23651289,9,12,127
23651290,0,0,112
23651291,27,51,192
23651292,11,17,149
23651293,0,0,110
23651294,6,5,85
23651295,0,0,90
23651296,22,34,154
23651297,6,5,85
23651298,10,8,81
23651299,6,6,95
23651300,6,5,79
23651301,10,10,101
23651302,0,0,94
23651303,14,25,177
23651304,8,10,129
23651305,0,0,129
23651306,10,8,84
23651307,6,6,96
23651308,17,15,89
23651309,0,0,96
23651310,0,0,96
23651311,8,7,92
23651312,11,10,90
23651313,0,0,100
23651314,10,16,155
23651315,8,5,63
23651316,6,6,107
23651317,8,12,154
23651318,0,0,116
23651319,11,13,121
23651320,0,0,108
23651321,4,5,120
23651322,13,11,84
23651323,9,11,121
23651324,0,0,104
23651325,0,0,104
23651326,0,0,89
23651327,4,5,122
23651328,21,17,80
23651329,0,0,58
23651330,0,0,141
23651331,0,0,105
23651332,0,0,98
23651333,0,0,115
23651334,11,10,95
23651335,8,10,119
23651336,6,6,99
23651337,5,6,113
23651338,6,6,94
23651339,0,0,108
23651340,0,0,81
23651341,11,13,116
23651342,0,0,110
23651343,0,0,93
23651344,0,0,108
23651345,0,0,88
23651346,0,0,82
23651347,0,0,108
23651348,0,0,99
23651349,0,0,95
23651350,0,0,108
23651351,9,10,117
23651352,0,0,91
23651353,0,0,85
23651354,0,0,94
23651355,0,0,94
23651356,0,0,89
23651357,9,10,111
23651358,0,0,95
23651359,0,0,102
23651360,0,0,89
23651361,5,5,107
23651362,0,0,61
23651363,16,15,95
23651364,0,0,85
23651365,0,0,91
23651366,0,0,92
23651367,0,0,73
23651368,0,0,90
23651369,0,0,89
23651370,0,0,105
23651371,6,5,81
23651372,0,0,103
23651373,0,0,100
23651374,0,0,67
23651375,9,10,117
23651376,0,0,94
23651377,0,0,101
23651378,0,0,78
23651379,0,0,88
23651380,0,0,95
23651381,5,5,99
23651382,0,0,92
23651383,5,5,108
23651384,0,0,111
23651385,0,0,69
23651386,6,5,86
23651387,0,0,99
23651388,0,0,98
23651389,96,304,317
23651390,72,155,215
23651391,0,0,93
23651392,0,0,71
